Gender,Sports,Anger.Out,Anger.In,Control.Out,Control.In,Anger.Expression
2,1,18,13,23,20,36
2,1,14,17,25,24,30
2,1,13,14,28,28,19
2,1,17,24,23,23,43
1,1,16,17,26,28,27
1,1,16,22,25,23,38
1,1,12,12,31,27,14
2,1,13,16,22,31,24
2,1,16,16,22,24,34
2,1,12,16,29,29,18
1,1,12,13,24,25,24
1,1,17,23,24,22,42
1,1,18,19,29,30,26
1,2,27,10,23,27,35
2,2,18,14,17,11,52
1,2,9,20,28,24,25
2,2,13,25,27,24,35
2,2,20,21,15,18,56
2,2,16,24,26,26,36
2,2,23,16,15,14,58
1,2,12,21,29,15,37
1,2,15,29,29,23,40
2,2,26,21,14,13,68
2,2,17,30,16,18,61
2,2,20,19,17,14,56
2,2,9,24,21,21,39
1,2,24,20,18,13,61
1,2,12,21,26,24,31
2,2,23,14,17,14,54
2,2,14,12,22,22,30
2,2,23,26,28,23,46
2,2,13,11,27,21,24
2,2,18,19,21,19,45
2,2,11,22,25,24,32
1,2,15,27,21,16,53
1,2,20,22,16,18,56
2,2,11,26,24,25,36
1,2,16,15,30,26,23
2,2,11,19,22,16,40
2,2,15,31,21,22,51
1,2,17,22,22,19,46
1,2,18,17,27,24,32
1,2,16,21,30,30,25
2,2,14,18,20,17,43
2,2,18,13,27,20,32
1,2,11,22,32,22,27
2,2,12,13,24,22,27
2,2,18,14,19,19,42
2,2,21,22,25,19,47
1,2,22,20,17,18,55
2,2,22,17,22,23,42
1,2,26,24,15,16,67
1,2,11,15,29,19,26
2,2,17,18,28,20,35
2,2,16,18,24,22,36
2,2,9,14,32,32,7
2,2,11,23,24,16,42
2,2,17,11,21,24,31
2,2,13,22,21,21,41
2,2,18,19,27,22,36
1,2,19,15,19,19,44
2,2,15,21,25,26,33
1,2,15,22,25,24,36
1,2,18,18,20,19,45
2,2,12,16,31,32,13
2,2,15,18,30,29,22
1,1,14,14,27,23,26
2,1,14,22,30,29,25
1,1,15,15,27,27,24
1,1,21,19,21,17,50
1,1,18,19,24,23,38
2,1,17,10,18,17,40
2,1,24,19,18,23,50
2,1,14,11,18,15,40
2,1,10,18,30,32,14
2,1,11,14,29,24,20
1,1,15,17,20,18,42
2,1,15,17,24,26,30
