time,auto,name,nationality,date,where
04:14.4,,John Paul Jones, United States,31 May 1913,"Allston, Mass."
04:12.6,,Norman Taber, United States,16 July 1915,"Allston, Mass."
04:10.4,,Paavo Nurmi, Finland,23 August 1923,Stockholm
04:09.2,,Jules Ladoumègue, France,4 October 1931,Paris
04:07.6,,Jack Lovelock, New Zealand,15 July 1933,"Princeton, N.J."
04:06.8,,Glenn Cunningham, United States,16 June 1934,"Princeton, N.J."
04:06.4,,Sydney Wooderson, United Kingdom,28 August 1937,Motspur Park
04:06.2,,Gunder Hägg, Sweden,1 July 1942,Gothenburg
04:06.2,,Arne Andersson, Sweden,10 July 1942,Stockholm
04:04.6,,Gunder Hägg, Sweden,4 September 1942,Stockholm
04:02.6,,Arne Andersson, Sweden,1 July 1943,Gothenburg
04:01.6,,Arne Andersson, Sweden,18 July 1944,Malmö
04:01.4,,Gunder Hägg, Sweden,17 July 1945,Malmö
03:59.4,,Roger Bannister, United Kingdom,6 May 1954,Oxford
03:58.0,,John Landy, Australia,21 June 1954,Turku
03:57.2,,Derek Ibbotson, United Kingdom,19 July 1957,London
03:54.5,,Herb Elliott, Australia,6 August 1958,Dublin
03:54.4,,Peter Snell, New Zealand,27 January 1962,Wanganui
03:54.1,03:54.0,Peter Snell, New Zealand,17 November 1964,Auckland
03:53.6,,Michel Jazy, France,9 June 1965,Rennes
03:51.3,,Jim Ryun, United States,17 July 1966,"Berkeley, Cal."
03:51.1,,Jim Ryun, United States,23 June 1967,"Bakersfield, Cal."
03:51.0,,Filbert Bayi, Tanzania,17 May 1975,Kingston
03:49.4,,John Walker, New Zealand,12 August 1975,Gothenburg
03:49.0,03:49.0,Sebastian Coe, United Kingdom,17 July 1979,Oslo
03:48.8,,Steve Ovett, United Kingdom,1 July 1980,Oslo
03:48.5,,Sebastian Coe, United Kingdom,19 August 1981,Zürich
03:48.4,,Steve Ovett, United Kingdom,26 August 1981,Koblenz
03:47.3,,Sebastian Coe, United Kingdom,28 August 1981,Brussels
03:46.3,,Steve Cram, United Kingdom,27 July 1985,Oslo
03:44.4,,Noureddine Morceli, Algeria,5 September 1993,Rieti
03:43.1,,Hicham El Guerrouj, Morocco,7 July 1999,Rome
