"Condition","trial","time","person","RT"
"4",1,"1","46",147.51749125236
"4",2,"1","46",203.407499808177
"4",3,"1","46",356.383338346633
"4",4,"1","46",182.504122335786
"4",5,"1","46",200.101712069002
"4",6,"1","46",276.617136666294
"4",7,"1","46",201.514406698403
"4",8,"1","46",252.242469709695
"4",9,"1","46",204.760524568894
"4",10,"1","46",223.656184213118
"4",11,"1","46",205.660716410302
"4",12,"1","46",168.666966227592
"4",13,"1","46",252.187742800075
"4",14,"1","46",308.067984135999
"4",15,"1","46",170.46927804665
"4",16,"1","46",169.777824534358
"4",17,"1","46",199.284841146722
"4",18,"1","46",153.257012739902
"4",19,"1","46",190.04921526508
"4",20,"1","46",275.503184964469
"4",21,"1","46",339.029001428307
"4",22,"1","46",199.92175831826
"4",23,"1","46",191.236689209337
"4",24,"1","46",138.872777272552
"4",25,"1","46",377.557332754553
"4",1,"2","46",215.424052406389
"4",2,"2","46",277.912527509959
"4",3,"2","46",303.131105359881
"4",4,"2","46",282.299486494292
"4",5,"2","46",212.337774328125
"4",6,"2","46",329.233470383089
"4",7,"2","46",276.123608963303
"4",8,"2","46",236.439631255595
"4",9,"2","46",238.232630686646
"4",10,"2","46",308.306833184404
"4",11,"2","46",175.075143111293
"4",12,"2","46",291.30140453654
"4",13,"2","46",184.026700182873
"4",14,"2","46",278.541231805024
"4",15,"2","46",232.425929974637
"4",16,"2","46",143.890525858592
"4",17,"2","46",246.432473319033
"4",18,"2","46",316.756287417951
"4",19,"2","46",117.620875858773
"4",20,"2","46",230.462014052904
"4",21,"2","46",153.414054288181
"4",22,"2","46",70.8025959874627
"4",23,"2","46",133.563572164857
"4",24,"2","46",203.54644790463
"4",25,"2","46",180.884770559227
